point,permitnum,address,applicant,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabnumber,sdabhearingdate,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.99122655008739, 51.034154221057314]}",DP2023-00909,2046 BIRCH CR SE,HANDYCAP MOBILITY SPECIALISTS,Home Occupation Class 2,TEMPORARY USE: HOME OCCUPATION - CLASS 2 (HANDICAP AUTO EQUIPPING - 5 YEARS),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2023-02-13T00:00:00.000,2023-03-20T00:00:00.000,2023-04-17T00:00:00.000,2025-03-20T00:00:00.000,Approval,Development Authority,SOV,SOUTHVIEW,9,SE,51.034,-113.991,2,Titled Parcel;Building,2046 BIRCH CR SE;2046 BIRCH CR SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9912266,51.0341542],[-113.9911514,51.03409]]}","MULTIPOINT ((-113.99122655008739 51.034154221057314),(-113.9911514259156 51.03409004656181))",,,,,
"{'type': 'Point', 'coordinates': [-114.10565157061757, 51.01822385838888]}",DP2023-03128,1962 40 AV SW,SANTHA DESIGN,Change of Use - With Change to Site Plan,CHANGE OF USE: SECONDARY SUITE (4 SUITES); CHANGES TO SITE PLAN: ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE),C1020; C2540,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING,Permitted,R-CG,Residential - Grade-Oriented Infill,Released,2023-05-15T00:00:00.000,2023-09-26T00:00:00.000,2023-10-31T00:00:00.000,2025-09-26T00:00:00.000,Approval,Development Authority,ALT,ALTADORE,8,SW,51.018,-114.106,5,Titled Parcel;Building;Building;Building;Building,1960 40 AV SW;1966 40 AV SW;1968 40 AV SW;1962 40 AV SW;1964 40 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1056516,51.0182239],[-114.1059617,51.0182784],[-114.1060446,51.018273],[-114.1058058,51.0182785],[-114.1058782,51.0182762]]}","MULTIPOINT ((-114.10565157061757 51.01822385838888),(-114.10596167252687 51.01827839726939),(-114.10604459566746 51.018273027068716),(-114.1058057645772 51.01827853853858),(-114.10587820468402 51.018276153563505))",,,,,
"{'type': 'Point', 'coordinates': [-114.18276322579834, 51.08594296923567]}",DP2022-04631,6504 BOWWOOD DR NW,RICK BALBI ARCHITECT,Renovations - Non-Residential,CHANGE OF USE: CHILD CARE SERVICE (12 CHILDREN); CHANGES TO SITE PLAN: CHILD CARE SERVICE (RAMP),C1310,CHILD CARE SERVICE,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Released,2022-06-29T00:00:00.000,2022-08-17T00:00:00.000,2022-09-16T00:00:00.000,2024-08-17T00:00:00.000,Approval,Development Authority,BOW,BOWNESS,1,NW,51.086,-114.183,2,Titled Parcel;Building,6504 BOWWOOD DR NW;6504 BOWWOOD DR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1827632,51.085943],[-114.1825872,51.0861354]]}","MULTIPOINT ((-114.18276322579834 51.08594296923567),(-114.18258715134407 51.08613539872681))",,,,,
"{'type': 'Point', 'coordinates': [-114.20208682960096, 51.03595056473412]}",DP2022-03062,7953 19 AV SW,NORR ARCHITECTS ENGINEERS PLANNERS,Change of Use - With Change to Site Plan,REVISION: CHANGES TO DP2020-7636 (PARKADE RAMP),C2050,MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-H1 h22,Multi-Residential - High Density Low Rise,Released,2022-05-04T00:00:00.000,2022-07-15T00:00:00.000,2022-08-15T00:00:00.000,2025-07-15T00:00:00.000,Approval,Development Authority,SPH,SPRINGBANK HILL,6,SW,51.036,-114.202,2,Titled Parcel;Building,7953 19 AV SW;7953 19 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2020868,51.0359506],[-114.2017918,51.0354641]]}","MULTIPOINT ((-114.20208682960096 51.03595056473412),(-114.20179180152621 51.035464117263786))",,,,,
"{'type': 'Point', 'coordinates': [-114.13530343800142, 51.03043006392514]}",DP2024-07665,3308 26 AV SW,,Residential - Multi-Family - Minor and Rowhouses,"NEW: DWELLING UNIT (2 BUILDINGS), SECONDARY SUITE (10 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGES, MOBILITY STORAGE LOCKERS)",C1020; C1540; C2626,ACCESSORY RESIDENTIAL BUILDING; DWELLING UNIT; SECONDARY SUITE,Permitted,H-GO,Housing - Grade Oriented District (H-GO),Released,2024-10-28T00:00:00.000,2025-06-13T00:00:00.000,2025-09-15T00:00:00.000,2027-06-13T00:00:00.000,Approval,Development Authority,KIL,KILLARNEY/GLENGARRY,8,SW,51.030,-114.135,3,Titled Parcel;Titled Parcel;Titled Parcel,2632 33 ST SW;2636 33 ST SW;3308 26 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1353034,51.0304301],[-114.1353034,51.0303164],[-114.1349196,51.0301639]]}","MULTIPOINT ((-114.13530343800142 51.03043006392514),(-114.13530340643031 51.030316397430354),(-114.1349196142962 51.03016394329132))",,,,,
"{'type': 'Point', 'coordinates': [-114.04667864070801, 51.050081516325825]}",DP2020-4967,23 MCDOUGALL CO NE,DIALOG,Residential - Multi-Family - Minor and Rowhouses,"NEW: ASSISTED LIVING; CHANGES TO SITE PLAN: ASSISTED LIVING (NEW BARRIER FREE RAMP, STAIRCASE, NEW ENTRANCE CANOPY, LANDSCAPING, PARKING RECONFIGURATION); CHANGE OF USE: ASSISTED LIVING",C1110,ASSISTED LIVING,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Lapsed,2020-08-10T00:00:00.000,2021-08-11T00:00:00.000,,2023-08-11T00:00:00.000,Approval,Development Authority,BRD,BRIDGELAND/RIVERSIDE,9,NE,51.050,-114.047,1,Titled Parcel,23 MCDOUGALL CO NE,"{""type"":""Point"",""coordinates"":[-114.0466786,51.0500815]}",POINT (-114.04667864070801 51.050081516325825),2023-08-11T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.08474683862796, 51.17214831290198]}",DP2023-05417,86 PANTON VW NW,,Relaxation - New - Residential,"ADDITION: SINGLE DETACHED DWELLING (REAR ELEVATOR, DECK, & BALCONY)",C2730,SINGLE DETACHED DWELLING,Permitted with a Relaxation,R-1N,Residential - Narrow Parcel One Dwelling,Cancelled,2023-08-08T00:00:00.000,,,,,,PAN,PANORAMA HILLS,3,NW,51.172,-114.085,2,Titled Parcel;Building,86 PANTON VW NW;86 PANTON VW NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0847468,51.1721483],[-114.0845488,51.1721502]]}","MULTIPOINT ((-114.08474683862796 51.17214831290198),(-114.0845488171404 51.17215020014605))",2024-02-13T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.143429987451, 51.02706421468766]}",DP2024-00651,3916 30 AV SW,,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES) ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE)  ",C9999,OTHER,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Cancelled,2024-01-29T00:00:00.000,,,,,,GBK,GLENBROOK,6,SW,51.027,-114.143,1,Titled Parcel,3916 30 AV SW,"{""type"":""Point"",""coordinates"":[-114.14343,51.0270642]}",POINT (-114.143429987451 51.02706421468766),2024-04-29T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.12437295559576, 51.03171705367535]}",DP2023-08318,2710 25 AV SW,JOHN TRINH & ASSOCIATES,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES) ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE LOCKER)",C1020; C2540,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2023-11-24T00:00:00.000,2024-04-09T00:00:00.000,2024-12-05T00:00:00.000,2026-04-09T00:00:00.000,Approval,Development Authority,KIL,KILLARNEY/GLENGARRY,8,SW,51.032,-114.124,2,Titled Parcel;Building,2710 25 AV SW;2439 26 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.124373,51.0317171],[-114.1240393,51.0317738]]}","MULTIPOINT ((-114.12437295559576 51.03171705367535),(-114.12403928798601 51.03177384599291))",,,,,
"{'type': 'Point', 'coordinates': [-114.07818216478609, 51.0410120278976]}",DP2020-1524,720 13 AV SW,MTA URBAN DESIGN ARCHITECTURE INTERIOR DESIGN,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: APARTMENT BUILDING (NEW ENTRANCES & CANOPIES), CHANGES TO SITE PLAN: APARTMENT BUILDING (NEW STAIRS & RAMP)",B1300; C2680; C2700,APARTMENT BUILDING; SIGN - CLASS B; SIGN - CLASS D,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Released,2020-03-10T00:00:00.000,2020-06-15T00:00:00.000,2023-07-04T00:00:00.000,2025-06-15T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SW,51.041,-114.078,3,Titled Parcel;Titled Parcel;Building,720 13 AV SW;710 13 AV SW;720 13 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0781822,51.041012],[-114.0772384,51.0409751],[-114.0781496,51.041161]]}","MULTIPOINT ((-114.07818216478609 51.0410120278976),(-114.07723835351825 51.04097513225649),(-114.0781495900698 51.04116100069245))",,,,,
"{'type': 'Point', 'coordinates': [-114.07230673096493, 51.034142682512645]}",DP2022-07486,509 21 AV SW,,Renovations - Non-Residential,CHANGES TO SITE PLAN: EXTERIOR RENOVATIONS (BARRIER FREE RAMP),C1572,EXTERIOR RENOVATIONS,Discretionary,M-C2,Multi-Residential - Contextual Medium Profile,Cancelled,2022-10-27T00:00:00.000,,,,,,CLI,CLIFF BUNGALOW,8,SW,51.034,-114.072,2,Titled Parcel;Building,509 21 AV SW;509 21 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0723067,51.0341427],[-114.0722954,51.0340054]]}","MULTIPOINT ((-114.07230673096493 51.034142682512645),(-114.07229541091675 51.0340054339972))",2022-11-04T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.07171163481888, 51.006816380684455]}",DP2022-07616,401 52 AV SW,,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: ASSISTED LIVING (NEW LIFT AND DECK),C1110,ASSISTED LIVING,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2022-11-03T00:00:00.000,2022-12-09T00:00:00.000,2023-01-06T00:00:00.000,2024-12-09T00:00:00.000,Approval,Development Authority,WND,WINDSOR PARK,11,SW,51.007,-114.072,3,Titled Parcel;Building;Building,401 52 AV SW;401 52 AV SW;403 52 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0717116,51.0068164],[-114.0717157,51.0067171],[-114.0718181,51.0067173]]}","MULTIPOINT ((-114.07171163481888 51.006816380684455),(-114.07171571367813 51.00671709490457),(-114.07181807859796 51.00671730172555))",,,,,
"{'type': 'Point', 'coordinates': [-114.06094718969105, 51.04751896975144]}",DP2024-03650,140 6 AV SE,CITY OF CALGARY - CULTURE,Temporary Structure,"TEMPORARY USE: COMMUNITY RECREATION FACILITY (SEACAN, SKATE RAMP, GREENHOUSE)",C1350,COMMUNITY RECREATION FACILITY,Discretionary,CR20-C20/R20,Commercial Residential District,Released,2024-05-23T00:00:00.000,2024-07-26T00:00:00.000,2024-08-22T00:00:00.000,2027-07-26T00:00:00.000,Approval,Development Authority,DNC,DOWNTOWN COMMERCIAL CORE,7,SE,51.048,-114.061,2,Titled Parcel;Building,140 6 AV SE;140 6 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0609472,51.047519],[-114.0607763,51.0476154]]}","MULTIPOINT ((-114.06094718969105 51.04751896975144),(-114.06077626360965 51.04761537471885))",,,,,
"{'type': 'Point', 'coordinates': [-114.12974046458096, 51.03817035571607]}",DP2024-01818,3021 15 AV SW,LOLA ARCHITECTURE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: RESIDENTIAL CARE (NEW EGRESS WINDOW WELL - 2, NEW DECK - 2, NEW COMPOSITE STAIRS, LANDING AND RAMP - 2); CHANGE OF USE: RESIDENTIAL CARE (44 RESIDENTS))",C2440,RESIDENTIAL CARE,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Released,2024-03-15T00:00:00.000,2024-05-03T00:00:00.000,2024-05-31T00:00:00.000,2026-05-03T00:00:00.000,Approval,Development Authority,SHG,SHAGANAPPI,8,SW,51.038,-114.130,3,Titled Parcel;Building;Building,1731 29 ST SW;3105 15 AV SW;3021 15 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1297405,51.0381704],[-114.1315512,51.0388369],[-114.1310692,51.0388914]]}","MULTIPOINT ((-114.12974046458096 51.03817035571607),(-114.13155121488263 51.03883691709257),(-114.13106919203949 51.03889135218866))",,,,,
"{'type': 'Point', 'coordinates': [-114.0741713859904, 51.0773330796288]}",DP2023-05738,602 27 AV NW,NEW CENTURY DESIGN,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SEMI-DETACHED DWELLING (1 BUILDING), SECONDARY SUITE (5 UNITS), ACCESSORY RESIDENTIAL BUILDING (GARAGE AND MOBILITY STORAGE LOCKERS)",C1020; C2540; C2640,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING; SEMI-DETACHED DWELLING,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2023-08-18T00:00:00.000,2024-01-17T00:00:00.000,2024-06-10T00:00:00.000,2026-01-17T00:00:00.000,Approval,Development Authority,MOP,MOUNT PLEASANT,7,NW,51.077,-114.074,2,Titled Parcel;Building,2821 5 ST NW;602 27 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0741714,51.0773331],[-114.0743005,51.077142]]}","MULTIPOINT ((-114.0741713859904 51.0773330796288),(-114.07430047200839 51.077142047774736))",,,,,
"{'type': 'Point', 'coordinates': [-114.1433564351521, 51.02706108660119]}",DP2024-02688,3916 30 AV SW,VSDG,Residential - Multi-Family - Minor and Rowhouses,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES) ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE)  ",C1020; C2540; C2626,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING; SECONDARY SUITE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-04-17T00:00:00.000,2024-07-11T00:00:00.000,2025-01-27T00:00:00.000,2026-07-11T00:00:00.000,Approval,Development Authority,GBK,GLENBROOK,6,SW,51.027,-114.143,2,Titled Parcel;Building,3916 30 AV SW;3916 30 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1433564,51.0270611],[-114.1436376,51.0271329]]}","MULTIPOINT ((-114.1433564351521 51.02706108660119),(-114.14363761307507 51.02713289320511))",,,,,
"{'type': 'Point', 'coordinates': [-114.07230673096493, 51.034142682512645]}",DP2022-07707,509 21 AV SW,,Renovations - Non-Residential,CHANGES TO SITE PLAN: EXTERIOR RENOVATIONS (BARRIER FREE RAMP),C1572,EXTERIOR RENOVATIONS,Discretionary,M-C2,Multi-Residential - Contextual Medium Profile,Released,2022-11-08T00:00:00.000,2023-04-20T00:00:00.000,2023-06-15T00:00:00.000,2025-04-20T00:00:00.000,Approval,Development Authority,CLI,CLIFF BUNGALOW,8,SW,51.034,-114.072,2,Titled Parcel;Building,509 21 AV SW;509 21 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0723067,51.0341427],[-114.0722954,51.0340054]]}","MULTIPOINT ((-114.07230673096493 51.034142682512645),(-114.07229541091675 51.0340054339972))",,,,,
"{'type': 'Point', 'coordinates': [-114.13236103002214, 51.00100180957909]}",DP2010-5020,5940 LAKEVIEW DR SW,OMICRON CANADA,Commercial - Other Areas,ADDITION: PLACE OF WORSHIP - SMALL (ELEVATOR ON NW SIDE),C2280,PLACE OF WORSHIP - SMALL,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2010-12-24T00:00:00.000,2011-02-18T00:00:00.000,2011-03-22T00:00:00.000,2013-02-18T00:00:00.000,Approval,Development Authority,LKV,LAKEVIEW,11,SW,51.00100180957909,-114.13236103002214,3,Titled Parcel;Titled Parcel;Building,5940R LAKEVIEW DR SW;5940 LAKEVIEW DR SW;5940 LAKEVIEW DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.132361,51.0010018],[-114.1333546,51.0010806],[-114.1327802,51.0010243]]}","MULTIPOINT (-114.13236103002214 51.00100180957909,-114.13335462929273 51.00108056318251,-114.13278020471157 51.001024257975445)",,,,,
"{'type': 'Point', 'coordinates': [-114.09995501140426, 51.13322681035285]}",DP2007-3778,55 SANDARAC DR NW,WOODS PARKER ARCHITECTS,Residential - Multi-Family,ADDITION TO ACCESSORY  BUILDING (ELEVATOR SHAFT),B8680,TOWNHOUSES,Discretionary,RM-1,RESIDENTIAL LOW DENSITY MULTI-DWELLING DISTRICT,Released,2007-10-25T00:00:00.000,2007-11-07T00:00:00.000,2007-12-03T00:00:00.000,2008-11-07T00:00:00.000,Approval,Development Authority,SAN,SANDSTONE VALLEY,4,NW,51.13322681035285,-114.09995501140426,1,Titled Parcel,55 SANDARAC DR NW,"{""type"":""Point"",""coordinates"":[-114.099955,51.1332268]}",POINT (-114.09995501140426 51.13322681035285),,,,,
"{'type': 'Point', 'coordinates': [-114.2548902112604, 51.09344623478361]}",DP2012-0650,84 VALLEY RIDGE GR NW,,Relaxation - Existing - Residential,RELAXATION: SKATEBOARD RAMP [ONE YEAR],C9999,OTHER,Discretionary,R-C1,Residential - Contextual One Dwelling,Expired,2012-02-21T00:00:00.000,2012-03-16T00:00:00.000,2012-04-12T00:00:00.000,2013-03-16T00:00:00.000,Approval,Development Authority,VAL,VALLEY RIDGE,1,NW,51.09344623478361,-114.2548902112604,1,Titled Parcel,84 VALLEY RIDGE GR NW,"{""type"":""Point"",""coordinates"":[-114.2548902,51.0934462]}",POINT (-114.2548902112604 51.09344623478361),,,,,
"{'type': 'Point', 'coordinates': [-114.06348655275639, 50.92119545529895]}",DP2015-5015,149 PROVIDENCE BV SE,DIALOG,Change of Use - With Change to Site Plan,"REVISION: REVISIONS TO DP2012-3245 (SHARED ACCESS WITH ADJACENT SITE, RETAINING WALL NW SIDE OF SITE, RETAINING WALL SE SIDE OF SITE, REVISED BARRIER FREE PARKING, REVISED LANDSCAPING)",C2440,RESIDENTIAL CARE,Discretionary,S-CI,Special Purpose - Community Institution,Released,2015-12-03T00:00:00.000,2015-12-21T00:00:00.000,2016-01-15T00:00:00.000,2017-12-21T00:00:00.000,Approval,Development Authority,MID,MIDNAPORE,14,SE,50.92119545529895,-114.06348655275637,1,Titled Parcel,149 PROVIDENCE BV SE,"{""type"":""Point"",""coordinates"":[-114.0634866,50.9211955]}",POINT (-114.06348655275637 50.92119545529895),,,,,
"{'type': 'Point', 'coordinates': [-113.92490164923156, 51.07331331550267]}",DP1997-3339,227 DEL RAY RD NE,,,CONVERTED JOB - HOME OCCUPATION - MOBILE SERVICING AND REPAIR OF FORKLIFTS (1 YEAR),B5550,HOME OCCUPATION - CLASS 2,Discretionary,R-1,RESIDENTIAL SINGLE-DETACHED DISTRICT,Expired,1997-10-24T00:00:00.000,1997-11-20T00:00:00.000,,1999-11-20T00:00:00.000,Approval,Development Authority,MOR,MONTEREY PARK,10,NE,51.07331331550267,-113.92490164923156,1,Titled Parcel,227 DEL RAY RD NE,"{""type"":""Point"",""coordinates"":[-113.9249016,51.0733133]}",POINT (-113.92490164923156 51.07331331550267),,,,,
"{'type': 'Point', 'coordinates': [-114.11280617546775, 51.093013860341706]}",DP2013-0095,4316 CHIPPEWA RD NW,JOHN HADDON DESIGN,Residential - Additions over 10 sq metres,NEW: SINGLE DETACHED DWELLING & RETAINING WALLS (LOCATED IN FRONT SETBACK AREA TO PROVIDE WHEELCHAIR ACCESS),C2535; C2730,RETAINING WALL; SINGLE DETACHED DWELLING,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2013-01-10T00:00:00.000,2013-02-07T00:00:00.000,2013-03-04T00:00:00.000,2015-02-07T00:00:00.000,Approval,Development Authority,CHW,CHARLESWOOD,4,NW,51.0930138603417,-114.11280617546775,2,Titled Parcel;Building,4316 CHIPPEWA RD NW;4316 CHIPPEWA RD NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1128062,51.0930139],[-114.1127113,51.0931255]]}","MULTIPOINT (-114.11280617546775 51.0930138603417,-114.11271130074122 51.093125477584096)",,,,,
"{'type': 'Point', 'coordinates': [-114.11981164545568, 50.954241848005026]}",DP2011-2584,11620 OAKFIELD DR SW,RICK BALBI ARCHITECT,Residential - Multi-Family - Renovations,ADDITION: MULTI-RESIDENTIAL DEVELOPMENT (COVER EXISTING PARKADE RAMP),C2050,MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-C1 d55,Multi-Residential - Contextual Low Profile,Lapsed,2011-07-07T00:00:00.000,2011-09-08T00:00:00.000,2011-10-04T00:00:00.000,2013-09-08T00:00:00.000,Approval,Development Authority,CED,CEDARBRAE,11,SW,50.954241848005026,-114.11981164545568,1,Titled Parcel,11620 OAKFIELD DR SW,"{""type"":""Point"",""coordinates"":[-114.1198116,50.9542418]}",POINT (-114.11981164545568 50.954241848005026),,,,,
