OBJECTID,Status,Score,Match_type,Match_addr,Postal,Ref_ID,X,Y,User_fld,Addr_type,ARC_Single,Full_Addre,PC,WARD,PLAN_,LOT,BLG_TYPE,MUNICIPALI,DESCRIPTIO,D_U_,VALUE,FT2,PERMIT_,APPL__TYPE,ISSUED_DAT,M2,BLG_TYPE_F,latitude,longitude
37,M,100,A,"155 QUEEN ST, K1P6L1",K1P6L1,287892,367453.319519,5031604.38154,___A733N,Address,155 QUEEN ST,155 QUEEN ST,K1P6L1,Ward 14,3922, ,Office,Old Ottawa,Tenant fit-up in the basement of a 14 storey office building; add 1 elevator and escalators from ground floor lobby to basement  (Winners),0,3000000,22296,1500041,Construction,2015-01-07,2071.365288,Bureau,45.421577475655276,-75.69940937984275
104,M,100,A,"2313 CARLING AVE, K2B7G3",K2B7G3,12762,361465.963567,5025616.01464,___A59K0,Address,2313 CARLING AVE,2313 CARLING AVE,K2B7G3,Ward 7,546,4 & 5,Other,Old Ottawa,Interior alterations to a 1 storey funeral home (barrier free washroom),0,62828.19,500,1500117,Construction,2015-01-12,46.4515,Autre,45.368205446299356,-75.77659804689692
135,M,100,A,"50 O'CONNOR ST, K1P6L2",K1P6L2,158029,367473.011676,5031523.25866,___A6Z5V,Address,50 O'CONNOR ST,50 O'CONNOR ST,K1P6L2,Ward 14,3922,9-10,Mixed,Old Ottawa,"Interior alterations to a 17 storey office building (create accessible washrooms on Floors 2,3,4,7,8,9,10,11,12,13,14, and 16)",0,480000,904.16,1500158,Construction,2015-01-14,83.99917648,Polyvalent,45.420845794726134,-75.69916809449803
136,M,100,A,"99 BANK ST, K1P6B9",K1P6B9,96445,367405.096338,5031480.83295,___A51F1,Address,99 BANK ST,99 BANK ST,K1P6B9,Ward 14, , ,Office,Old Ottawa,"Interior alteration to create accessible washrooms (floors 2, 4, 7 & 9, in the elevator corridor)",0,160000,258.33,1500159,Construction,2015-01-14,23.999631989999997,Bureau,45.42047014160185,-75.70004122203666
141,M,100,A,"1595 MERIVALE RD, K2G3J4",K2G3J4,318015,364902.303094,5023958.18022,__1OXJMZ,Address,1595 MERIVALE RD,1595 MERIVALE RD,K2G3J4,Ward 9, ,33,Retail,Nepean,"Interior alterations in a 1 storey retail building (Red Lobster, Accessible Washrooms)",0,68000,409,1500167,Construction,2015-01-14,37.997327,Vente au détail,45.353002252214736,-75.73293476352387
247,M,100,A,"525 COTE ST, K1K0Z8",K1K0Z8,407524,371542.107731,5033281.52232,___A7AFJ,Address,525 COTE ST,525 COTE ST,K1K0Z8,Ward 13, ,252-261,Other,Old Ottawa,Interior alterations to a 2 storey community complex (make pool change rooms accessible),0,80636.36,4219,1500279,Construction,2015-01-23,391.957757,Autre,45.436289507407,-75.64694060191307
248,M,100,A,"1701 WOODROFFE AVE, K2G1W2",K2G1W2,279964,364150.51519,5021052.44637,__1U8ANE,Address,1701 WOODROFFE AVE,1701 WOODROFFE AVE,K2G1W2,Ward 9, , ,Other,Nepean,Tenant fit up in a 1 storey community building (Lawnbowl Pavillion - accessibility),0,121325,270,1500280,Construction,2015-01-23,25.08381,Autre,45.32692077363969,-75.7428773190875
298,M,100,A,"1660 CARLING AVE, K2A1C5",K2A1C5,56902,363623.199916,5026794.86169,__6X1RGV,Address,1660 CARLING AVE,1660 CARLING AVE,K2A1C5,Ward 15, , ,Retail,Old Ottawa,Tenant fitup on the ground floor (CRU-1 & CRU-4) and add a freight lift in a  2 storey retail building (Canadian Tire).,0,200000,8367.05,1500333,Construction,2015-01-28,777.32404615,Vente au détail,45.37863481931508,-75.74892044354308
342,M,100,A,3701 CARLING AVE, ,277866,353097.089927,5023344.98013,__1U87LM,Address,3701 CARLING AVE,3701 CARLING AVE, ,Ward 7, , ,Office,Nepean,Interior alterations (replace elevator) to a 4 storey office/industrial building (David Florida Laboratory),0,418000,1184,1500382,Construction,2015-01-30,109.997152,Bureau,45.34839702950761,-75.88365124888583
478,M,100,A,"879 HIAWATHA PARK RD, K1C2Z6",K1C2Z6,9164,379421.906946,5038581.88523,__353FNT,Address,879 HIAWATHA PARK RD,879 HIAWATHA PARK RD,K1C2Z6,Ward 1, ,5,Other,Gloucester,Interior alterations to upgrade the Elevator Shafts in  a 4 storey long-term care residency (Residence Saint-Louis),0,275000,376.74,1500550,Construction,2015-02-11,35.00027622,Autre,45.48318168766386,-75.54543409574035
497,M,98.9,A,2287 ST. LAURENT BLVD, ,204527,374225.415436,5027798.06415,___A7MY8,Address,2287 ST. LAURENT BLVD,2287 ST. LAURENT BLVD, ,Ward 10, , ,Office,Old Ottawa,Lift existing office building to construct a slab foundation beneath it,0,10000,592,1500572,Construction,2015-02-13,54.998576,Bureau,45.38669083911913,-75.61342036093994
642,T,100,A,1130 WELLINGTON ST W, ,396628,365246.830872,5029267.29436,__90BZR9,Address,1130 WELLINGTON ST W,1130 WELLINGTON ST W, ,Ward 15,14,2,Mixed,Old Ottawa,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),52,16000000,84779.33,1500721,Construction,2015-02-24,7876.25409499,Polyvalent,45.40074305981421,-75.72788818154137
643,T,100,A,10 ROSEMOUNT AVE, ,395649,365246.830872,5029267.29436,__90BZY2,Address,10 ROSEMOUNT AVE,10 ROSEMOUNT AVE, ,Ward 15,14,2,Mixed,Old Ottawa,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),52,16000000,84779.33,1500721,Construction,2015-02-24,7876.25409499,Polyvalent,45.40074305981421,-75.72788818154137
675,M,100,A,"2720 RICHMOND RD, K2B6S2",K2B6S2,10936,360228.031498,5024527.45634,___A668E,Address,2720 RICHMOND RD,2720 RICHMOND RD,K2B6S2,Ward 7,348,488-489,Office,Old Ottawa,"Construction of stair and elevator additions, partial demolition and interior alterations to a 3 storey assembly building (conversion of Grant School into Centre Multiservices Francophone de l'Ouest d'Ottawa)",0,3230000,21992,1500755,Construction,2015-02-26,2043.122776,Bureau,45.35850962985594,-75.79252251144193
922,M,100,A,"365 LAURIER AVE W, K1A0X6",K1A0X6,336768,367331.533145,5031234.76702,___A6TJB,Address,365 LAURIER AVE W,365 LAURIER AVE W,K1A0X6,Ward 14,3922,27-30,Office,Old Ottawa,Interior alterations on the 5th to the 21st floor of a 21 storey office building (accessible washrooms),0,528000,1600,1501007,Construction,2015-03-13,148.6448,Bureau,45.41826269640893,-75.70101234157475
1075,M,100,A,"433 NELSON ST, K1N7S6",K1N7S6,61953,369100.510103,5031812.00571,___A6ZHS,Address,433 NELSON ST,433 NELSON ST,K1N7S6,Ward 12,37221,20,Institutional,Old Ottawa,Exterior/interior alterations to a 4 storey Group Home (Install power assist door in 5 locations and upgrade entrance ramp),0,15000,344,1501178,Construction,2015-03-24,31.958632,Institutionnel,45.42329614480363,-75.67833638858416
1082,M,100,A,"515 SUSSEX DR, K1N6Z6",K1N6Z6,83968,367887.722483,5032216.74273,___A6D9F,Address,515 SUSSEX DR,515 SUSSEX DR,K1N6Z6,Ward 12,42482,10,Institutional,Old Ottawa,Exterior alterations to replace accessibility ramp,0,67000,215.28,1501185,Construction,2015-03-24,20.00015784,Institutionnel,45.42704825716967,-75.69378063865945
1572,M,100,A,5550 ANN ST, ,55832,368820.901146,5009703.62379,__32SNKM,Address,5550 ANN ST,5550 ANN ST, ,Ward 21, ,2,Mixed,Rideau,56tyy6Interior alterations to a 1 storey commercial building to construct a shaft and machine room for a lift for handicap access (Royal Canadian Legion - Manotick),0,60000,115,1501704,Construction,2015-04-17,10.683845,Polyvalent,45.22439499662876,-75.68476730721683
1997,M,100,A,"1815 ALTA VISTA DR, K1G3Y6",K1G3Y6,145672,370428.718104,5029341.89095,___A5YUE,Address,1815 ALTA VISTA DR,1815 ALTA VISTA DR,K1G3Y6,Ward 18, , ,Office,Old Ottawa,Exterior alterations to a 2 storey office building (Canadian Dental Association - construct accessibility ramp),0,154545.45,7534.73,1502227,Construction,2015-05-07,699.99902119,Bureau,45.40094766745435,-75.66169453520277
2035,M,100,A,"250 CITY CENTRE AVE, K1R6K7",K1R6K7,199188,365974.978997,5030126.12971,__5VUHWH,Address,250 CITY CENTRE AVE,250 CITY CENTRE AVE,K1R6K7,Ward 14,4M-,2-7,Retail,Old Ottawa,"Exterior alterations (replace stairs, guards and add HC ramp to rear platform) to a 2 storey retail building",0,139000,0,1502276,Construction,2015-05-08,0,Vente au détail,45.40840739664142,-75.71848153590183
2149,M,100,A,"99 BANK ST, K1P6B9",K1P6B9,96445,367405.096338,5031480.83295,___A51F1,Address,99 BANK ST,99 BANK ST,K1P6B9,Ward 14, , ,Office,Old Ottawa,Interior alterations on the 1st floor of a 15 storey office building (lobby and elevator corridor),0,1450200,4306,1502369,Construction,2015-05-12,400.040318,Bureau,45.42047014160185,-75.70004122203666
2418,M,100,A,"1 SUSSEX DR, K1A0A1",K1A0A1,246960,368489.818152,5034095.87907,___A6D82,Address,1 SUSSEX DR,1 SUSSEX DR,K1A0A1,Ward 13, ,3-4,Institutional,Old Ottawa,"Interior alterations to a 4 storey  building (Rideau Hall, Replace elevator)",0,270969,1,1502713,Construction,2015-05-26,0.092903,Institutionnel,45.443901464020556,-75.68584389950021
2535,M,100,A,"20 MCKITRICK DR, K2L1T7",K2L1T7,127063,353108.367472,5017120.77756,___0YUWI,Address,20 MCKITRICK DR,20 MCKITRICK DR,K2L1T7,Ward 23, , ,Institutional,Kanata,Interior alterations to install a elevator on the ground floor in a 2 storey institutional building (St. Martins Catholic School),0,200000,200,1502880,Construction,2015-05-29,18.5806,Institutionnel,45.29238963657396,-75.88411443355648
2536,M,100,A,"1923 ELMRIDGE DR, K1J8G7",K1J8G7,162606,375257.069843,5034189.59608,__3W1WQX,Address,1923 ELMRIDGE DR,1923 ELMRIDGE DR,K1J8G7,Ward 11, ,18,Institutional,Gloucester,Interior alterations to install an elevator on the ground floor in a 1storey institutional building (Brother Andre Elementary),0,200000,300,1502881,Construction,2015-05-29,27.8709,Institutionnel,45.44409536641874,-75.59933369255899
2681,M,100,A,"2777 CASSELS ST, K2B6N6",K2B6N6,108380,359398.528666,5026015.98651,___A59X2,Address,2777 CASSELS ST,2777 CASSELS ST,K2B6N6,Ward 7,40, ,Other,Old Ottawa,Install an elevator to a 2 storey recreational building (Britania yacht club),0,105000,64,1503067,Construction,2015-06-04,5.945792,Autre,45.37196848665731,-75.80294496317522
2970,M,100,A,"625 CHARDONNAY DR, K4A4K7",K4A4K7,84844,385119.126593,5036213.81553,__3AU1A8,Address,625 CHARDONNAY DR,625 CHARDONNAY DR,K4A4K7,Ward 19,4M-1118,85,Single,Cumberland,Construct an accessible ramp (front yard),0,2300,150,1503431,Construction,2015-06-17,13.93545,Unifamiliales,45.46124385909645,-75.47295333572539
3714,M,100,A,"1760 MCMASTER AVE, K1H6R8",K1H6R8,204355,371609.155318,5027755.8137,___A6WGV,Address,1760 MCMASTER AVE,1760 MCMASTER AVE,K1H6R8,Ward 18,760, ,Institutional,Old Ottawa,Construct a barrier free ramp at a school (McMaster Catholic School),0,80000,81,1504243,Construction,2015-07-14,7.525143,Institutionnel,45.386565117758046,-75.6468326656262
3768,M,100,A,"1480 HERON RD, K1V6A5",K1V6A5,76019,371061.557988,5026905.86958,___A6N83,Address,1480 HERON RD,1480 HERON RD,K1V6A5,Ward 18,31,28,Institutional,Old Ottawa,Interior alterations to replace a lift with ramp on the main floor of a 2 storey institutional building (Heron Community Centre),0,51655,807.32,1504310,Construction,2015-07-16,75.00244996,Institutionnel,45.37896964416029,-75.65393893522352
4991,M,100,A,"21 103 ANTARES DR, K2E7T8",K2E7T8,328267,366863.698292,5021804.63395,__1OMNJD,Address,21 103 ANTARES DR,21 103 ANTARES DR,K2E7T8,Ward 9,329, ,Office,Nepean,"Interior alterations to a 2 storey office building (Unit 103, International Union of Elevator Constructors)",0,64500,838,1505656,Construction,2015-09-01,77.852714,Bureau,45.33345417382351,-75.70817460868352
5009,T,100,A,"1915 BANK ST, K1V8A2",K1V8A2,191518,370445.161541,5025746.94017,___A52NA,Address,1915 BANK ST,1915 BANK ST,K1V8A2,Ward 16,M24,300,Office,Old Ottawa,Exterior alterations to remove and replace accessible ramp in a 1 storey office building,0,110000,3249,1505679,Construction,2015-09-01,301.841847,Bureau,45.368600002276615,-75.66196260685624
5329,M,100,A,"2 BEAVERBROOK RD, K2K1L1",K2K1L1,92683,351745.867312,5021167.21593,___0YJOU,Address,2 BEAVERBROOK RD,2 BEAVERBROOK RD,K2K1L1,Ward 4,786, ,Institutional,Kanata,Construct a 2 storey addition for an elevator  (Beaverbrook Community Centre),0,193113.96,421.9,1505985,Construction,2015-09-15,39.1957757,Institutionnel,45.3288928202428,-75.90110076214506
5541,M,100,A,"400 MCARTHUR AVE, K1K1G8",K1K1G8,101817,371400.924149,5032784.48106,___A6WZB,Address,400 MCARTHUR AVE,400 MCARTHUR AVE,K1K1G8,Ward 13,772, ,Mixed,Old Ottawa,Interior alterations to install a handicap ramp in a public corridor of a 2 storey mixed use  building,0,10500,538.19,1506203,Construction,2015-09-22,49.999465570000005,Polyvalent,45.431830818011505,-75.64881217182756
5589,T,100,A,"2025 LANTHIER DR, K4A3V3",K4A3V3,164471,383667.505721,5035773.61296,__37TRH1,Address,2025 LANTHIER DR,2025 LANTHIER DR,K4A3V3,Ward 19, , ,Office,Cumberland,Interior alterations to install an elevator in a 2 storey office building,0,165000,71,1506254,Construction,2015-09-23,6.596113,Bureau,45.45744868954639,-75.4915830560002
5831,T,100,A,"2781 LANCASTER RD, K1B1A7",K1B1A7,181559,374901.475045,5028707.35938,___A6S6H,Address,2781 LANCASTER RD,2781 LANCASTER RD,K1B1A7,Ward 18,M-121, ,Office,Old Ottawa,Inteiror alterations on the 1st floor of a 4 storey office building (Elevator lobby),0,52920,1011.81,1506510,Construction,2015-10-01,94.00018442999999,Bureau,45.3948048967276,-75.60465876777896
5874,M,100,A,"700 503 SUSSEX DR, K1N1K4",K1N1K4,348485,367864.68329,5032083.74614,__5DM2LB,Address,700 SUSSEX DR,700 SUSSEX DR,K1N1K4,Ward 12,42482, ,Mixed,Old Ottawa,Exterior alterations on the 1st floor of a 7 storey mixed use building (Construct a barrier free ramp - Scotiabank),0,38000,250,1506558,Construction,2015-10-02,23.22575,Polyvalent,45.425853676455155,-75.694092065103
5917,M,100,A,"1876 ROBERTSON RD, K2H5B8",K2H5B8,172153,358045.152706,5020956.43922,__86HY1U,Address,1876 ROBERTSON RD,1876 ROBERTSON RD,K2H5B8,Ward 8,35,35,Other,Nepean,Interior alterations to a 2 storey hotel (Best Western Hotel - Install an elevator),0,150000,6,1506613,Construction,2015-10-06,0.557418,Autre,45.32654660706871,-75.82076698711022
6359,M,100,A,"123 METCALFE ST, K1P5L9",K1P5L9,17833,367798.754588,5031489.35977,___A6XYG,Address,123 METCALFE ST,123 METCALFE ST,K1P5L9,Ward 14,3922,52,Retail,Old Ottawa,"Interior alterations to a 6 storey hotel (Indigo Hotel, Remove escalators and construct an elevator)",0,150000,60,1507046,Construction,2015-10-22,5.57418,Vente au détail,45.42051152652045,-75.69501050494442
6386,T,100,A,"1125 COLONEL BY DR, K1S5B6",K1S5B6,24147,367486.34425,5027122.24713,___A5BO9,Address,1125 COLONEL BY DR,1125 COLONEL BY DR,K1S5B6,Ward 17, ,"L,M,N",Institutional,Old Ottawa,Install a new ramp roof (steel) in a 3 level parking garage (Carleton University),0,205100,3207.65,1507075,Construction,2015-10-23,298.00030795,Institutionnel,45.38124556083802,-75.6995571333582
6523,M,100,A,166 FRANK ST, ,207130,368460.850046,5030914.05749,___A6JQL,Address,166 FRANK ST,166 FRANK ST, ,Ward 14,49052, ,Institutional,Old Ottawa,"Exterior and interior alterations for accessibility upgrades to a 1 storey community building (St. Lukes Community Centre, Bethell Fieldhouse)",0,14454.99,0,1507173,Construction,2015-10-28,0,Institutionnel,45.41527521940315,-75.68662549139007
7399,M,100,A,"111 CATHERINE ST, K2P0P4",K2P0P4,342025,368319.004965,5030497.18051,__73BX4K,Address,111 CATHERINE ST,111 CATHERINE ST,K2P0P4,Ward 14,30,6-8,Mixed,Old Ottawa,"Interior alterations on the 1st floor of an 8 storey mixed-use building (barrier free washroom and office suite fit-up, unit #107)",0,18000,52,1507938,Construction,2015-12-04,4.830956,Polyvalent,45.41153718830202,-75.68849134794208
7787,M,100,A,"155 QUEEN ST, K1P6L1",K1P6L1,287892,367453.319519,5031604.38154,___A733N,Address,155 QUEEN ST,155 QUEEN ST,K1P6L1,Ward 14,3922, ,Office,Old Ottawa,Tenant fit-up in the basement of a 14 storey office building; add 1 elevator and escalators from ground floor lobby to basement  (Winners),0,3000000,22296,1500041,Construction,2015-01-07,2071.365288,Bureau,45.421577475655276,-75.69940937984275
7854,M,100,A,"2313 CARLING AVE, K2B7G3",K2B7G3,12762,361465.963567,5025616.01464,___A59K0,Address,2313 CARLING AVE,2313 CARLING AVE,K2B7G3,Ward 7,546,4 & 5,Other,Old Ottawa,Interior alterations to a 1 storey funeral home (barrier free washroom),0,62828.19,500,1500117,Construction,2015-01-12,46.4515,Autre,45.368205446299356,-75.77659804689692
7885,M,100,A,"50 O'CONNOR ST, K1P6L2",K1P6L2,158029,367473.011676,5031523.25866,___A6Z5V,Address,50 O'CONNOR ST,50 O'CONNOR ST,K1P6L2,Ward 14,3922,9-10,Mixed,Old Ottawa,"Interior alterations to a 17 storey office building (create accessible washrooms on Floors 2,3,4,7,8,9,10,11,12,13,14, and 16)",0,480000,904.16,1500158,Construction,2015-01-14,83.99917648,Polyvalent,45.420845794726134,-75.69916809449803
7886,M,100,A,"99 BANK ST, K1P6B9",K1P6B9,96445,367405.096338,5031480.83295,___A51F1,Address,99 BANK ST,99 BANK ST,K1P6B9,Ward 14, , ,Office,Old Ottawa,"Interior alteration to create accessible washrooms (floors 2, 4, 7 & 9, in the elevator corridor)",0,160000,258.33,1500159,Construction,2015-01-14,23.999631989999997,Bureau,45.42047014160185,-75.70004122203666
7891,M,100,A,"1595 MERIVALE RD, K2G3J4",K2G3J4,318015,364902.303094,5023958.18022,__1OXJMZ,Address,1595 MERIVALE RD,1595 MERIVALE RD,K2G3J4,Ward 9, ,33,Retail,Nepean,"Interior alterations in a 1 storey retail building (Red Lobster, Accessible Washrooms)",0,68000,409,1500167,Construction,2015-01-14,37.997327,Vente au détail,45.353002252214736,-75.73293476352387
7997,M,100,A,"525 COTE ST, K1K0Z8",K1K0Z8,407524,371542.107731,5033281.52232,___A7AFJ,Address,525 COTE ST,525 COTE ST,K1K0Z8,Ward 13, ,252-261,Other,Old Ottawa,Interior alterations to a 2 storey community complex (make pool change rooms accessible),0,80636.36,4219,1500279,Construction,2015-01-23,391.957757,Autre,45.436289507407,-75.64694060191307
7998,M,100,A,"1701 WOODROFFE AVE, K2G1W2",K2G1W2,279964,364150.51519,5021052.44637,__1U8ANE,Address,1701 WOODROFFE AVE,1701 WOODROFFE AVE,K2G1W2,Ward 9, , ,Other,Nepean,Tenant fit up in a 1 storey community building (Lawnbowl Pavillion - accessibility),0,121325,270,1500280,Construction,2015-01-23,25.08381,Autre,45.32692077363969,-75.7428773190875
8048,M,100,A,"1660 CARLING AVE, K2A1C5",K2A1C5,56902,363623.199916,5026794.86169,__6X1RGV,Address,1660 CARLING AVE,1660 CARLING AVE,K2A1C5,Ward 15, , ,Retail,Old Ottawa,Tenant fitup on the ground floor (CRU-1 & CRU-4) and add a freight lift in a  2 storey retail building (Canadian Tire).,0,200000,8367.05,1500333,Construction,2015-01-28,777.32404615,Vente au détail,45.37863481931508,-75.74892044354308
8092,M,100,A,3701 CARLING AVE, ,277866,353097.089927,5023344.98013,__1U87LM,Address,3701 CARLING AVE,3701 CARLING AVE, ,Ward 7, , ,Office,Nepean,Interior alterations (replace elevator) to a 4 storey office/industrial building (David Florida Laboratory),0,418000,1184,1500382,Construction,2015-01-30,109.997152,Bureau,45.34839702950761,-75.88365124888583
8228,M,100,A,"879 HIAWATHA PARK RD, K1C2Z6",K1C2Z6,9164,379421.906946,5038581.88523,__353FNT,Address,879 HIAWATHA PARK RD,879 HIAWATHA PARK RD,K1C2Z6,Ward 1, ,5,Other,Gloucester,Interior alterations to upgrade the Elevator Shafts in  a 4 storey long-term care residency (Residence Saint-Louis),0,275000,376.74,1500550,Construction,2015-02-11,35.00027622,Autre,45.48318168766386,-75.54543409574035
8247,M,98.9,A,2287 ST. LAURENT BLVD, ,204527,374225.415436,5027798.06415,___A7MY8,Address,2287 ST. LAURENT BLVD,2287 ST. LAURENT BLVD, ,Ward 10, , ,Office,Old Ottawa,Lift existing office building to construct a slab foundation beneath it,0,10000,592,1500572,Construction,2015-02-13,54.998576,Bureau,45.38669083911913,-75.61342036093994
8392,T,100,A,1130 WELLINGTON ST W, ,396628,365246.830872,5029267.29436,__90BZR9,Address,1130 WELLINGTON ST W,1130 WELLINGTON ST W, ,Ward 15,14,2,Mixed,Old Ottawa,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),52,16000000,84779.33,1500721,Construction,2015-02-24,7876.25409499,Polyvalent,45.40074305981421,-75.72788818154137
8393,T,100,A,10 ROSEMOUNT AVE, ,395649,365246.830872,5029267.29436,__90BZY2,Address,10 ROSEMOUNT AVE,10 ROSEMOUNT AVE, ,Ward 15,14,2,Mixed,Old Ottawa,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),52,16000000,84779.33,1500721,Construction,2015-02-24,7876.25409499,Polyvalent,45.40074305981421,-75.72788818154137
8425,M,100,A,"2720 RICHMOND RD, K2B6S2",K2B6S2,10936,360228.031498,5024527.45634,___A668E,Address,2720 RICHMOND RD,2720 RICHMOND RD,K2B6S2,Ward 7,348,488-489,Office,Old Ottawa,"Construction of stair and elevator additions, partial demolition and interior alterations to a 3 storey assembly building (conversion of Grant School into Centre Multiservices Francophone de l'Ouest d'Ottawa)",0,3230000,21992,1500755,Construction,2015-02-26,2043.122776,Bureau,45.35850962985594,-75.79252251144193
8672,M,100,A,"365 LAURIER AVE W, K1A0X6",K1A0X6,336768,367331.533145,5031234.76702,___A6TJB,Address,365 LAURIER AVE W,365 LAURIER AVE W,K1A0X6,Ward 14,3922,27-30,Office,Old Ottawa,Interior alterations on the 5th to the 21st floor of a 21 storey office building (accessible washrooms),0,528000,1600,1501007,Construction,2015-03-13,148.6448,Bureau,45.41826269640893,-75.70101234157475
